900,10,c,d,e,f,g,h,i,j,res
0.967266571,0.276385,0.619994732,0.515907413,0.512229526,0.521139591,0.038548571,0.956618679,0.869818959,0.166752338,0.002934981
0.156730139,0.990568607,0.529349672,0.463555808,0.695547663,0.040912868,0.730847526,0.138428409,0.738359672,0.383485,-0.476775729
0.49106458,0.667360823,0.914407368,0.336859816,0.030481712,0.352467818,0.079521086,0.097803537,0.106230449,0.092767183,-0.704076265
0.856429019,0.469303774,0.103232784,0.133943,0.414308972,0.202982247,0.01960046,0.02281132,0.126568782,0.156781432,0.338542561
0.119834072,0.088406282,0.067440953,0.809629972,0.393029585,0.122136904,0.35341659,0.433732362,0.210466449,0.899571993,0.034388408
0.954543934,0.69745595,0.645078714,0.482303428,0.679435823,0.414070584,0.922300831,0.983607995,0.826912259,0.023428073,-0.246507086
0.771302143,0.691036718,0.939363846,0.240373811,0.084972059,0.163978679,0.657269394,0.502324146,0.666559283,0.418790685,-0.615569402
0.247708028,0.226432551,0.12333177,0.411876197,0.967933422,0.777395298,0.09476753,0.03771466,0.106688588,0.98716825,0.047164464
0.862322268,0.337852731,0.252128695,0.280823579,0.239591986,0.809038492,0.270925705,0.761986937,0.593668641,0.902797006,0.262473834
0.148600583,0.077556206,0.162790255,0.414482309,0.827891886,0.481000801,0.960450517,0.881527132,0.353760077,0.904642585,-0.034144262
0.512968647,0.197213852,0.354698722,0.057657356,0.170158659,0.090539004,0.944132598,0.500693037,0.836058394,0.375234729,0.013171657
0.087304168,0.976201693,0.053316693,0.842894968,0.702381533,0.108793464,0.924109296,0.633735249,0.784153186,0.850517524,-0.023746151
0.526024076,0.962504747,0.224004529,0.151071595,0.611565114,0.900177508,0.363650307,0.524904871,0.148655953,0.629842965,-0.044167821
0.859936911,0.169411732,0.244511528,0.081882844,0.525778154,0.904669385,0.938871012,0.562224863,0.046441114,0.095625524,0.397796389
0.381605019,0.031954957,0.442829331,0.257714814,0.616654854,0.06059614,0.941049517,0.83870613,0.168685253,0.433034585,-0.084147629
0.519096313,0.197958011,0.613450915,0.073350615,0.128810255,0.70421446,0.912032154,0.723532486,0.570378966,0.012002668,-0.241583048
0.033871572,0.126090138,0.032763088,0.338256521,0.713785696,0.062901765,0.197044831,0.682350724,0.310043398,0.762339222,-0.005713012
0.130577876,0.552842373,0.355117492,0.103076306,0.415229775,0.653117587,0.638452875,0.134482493,0.130831151,0.147890415,-0.29310542
0.112438973,0.257049618,0.12842364,0.879610659,0.970266871,0.281518229,0.180431585,0.513269054,0.033769235,0.296702466,-0.054162344
0.399956649,0.863461953,0.902095605,0.995512813,0.491932364,0.319467037,0.464448403,0.909219182,0.21276948,0.196121923,-0.755426075
0.988346146,0.481302533,0.129999266,0.314373549,0.790881232,0.584960433,0.379177628,0.30997041,0.834542986,0.242116202,0.373589645
0.085132142,0.933755931,0.878265176,0.181785548,0.467499946,0.244987252,0.37993076,0.917090395,0.529982577,0.681808991,-0.84857667
0.743908835,0.259570884,0.95562969,0.562151231,0.211803618,0.186680598,0.840950251,0.754301407,0.59464764,0.300457573,-0.465939491
0.488954586,0.7699095,0.702656336,0.684597024,0.568316769,0.232920668,0.489814612,0.813447882,0.418355227,0.410767111,-0.510140812
0.018830938,0.861370767,0.676938093,0.883342286,0.021496341,0.303363229,0.96731056,0.48172838,0.54608663,0.673960146,-0.670021925
0.983384404,0.611970192,0.509806864,0.058631696,0.837864764,0.686164088,0.190461358,0.640434879,0.851140621,0.70542655,-0.067625764
0.812830575,0.740032803,0.284899342,0.335735446,0.001445684,0.602778445,0.580413666,0.210538272,0.382790482,0.845292767,0.042846252
0.886751007,0.514476965,0.967366949,0.505782061,0.648725662,0.856450084,0.696365948,0.541407966,0.360131952,0.943098434,-0.53031858
0.895900821,0.46886721,0.917019472,0.079398263,0.107618237,0.121538546,0.964579213,0.978411388,0.54366562,0.745186947,-0.454674988
0.84867238,0.840424206,0.733273096,0.144452266,0.701403994,0.331120217,0.932662981,0.069919984,0.300907397,0.025719669,-0.416704514
0.372479972,0.154544037,0.440614062,0.750896529,0.068631613,0.998225376,0.306744326,0.226355724,0.207986966,0.325559737,-0.156080133
0.489858379,0.223632467,0.492668893,0.842758542,0.835121449,0.33018894,0.392240246,0.67284761,0.84042746,0.306155951,-0.154197084
0.114306,0.507895374,0.537476083,0.070436506,0.791539017,0.948105297,0.023619445,0.38613275,0.096229771,0.513522578,-0.480770793
0.54229046,0.477372331,0.850636895,0.493926417,0.366627505,0.633844132,0.965674211,0.939980739,0.937501246,0.099604189,-0.573214237
0.378115872,0.316196401,0.880214692,0.7406527,0.984270582,0.315005521,0.785316264,0.177869318,0.291907652,0.06934867,-0.648581797
0.567937586,0.404790377,0.661022073,0.326528253,0.426748741,0.315410784,0.790578373,0.73627491,0.48278741,0.401913668,-0.347171705
0.959288929,0.372668714,0.928397093,0.971096938,0.846025528,0.675239582,0.992245819,0.821762236,0.947116754,0.397043574,-0.378767598
0.891016988,0.709381675,0.412485663,0.752690302,0.198081378,0.266099844,0.936792059,0.924082493,0.960410123,0.867287453,-0.044108579
0.654196605,0.642855111,0.170180652,0.534906912,0.626295548,0.390597049,0.077982967,0.813705983,0.401430327,0.77004189,0.116030872
0.913074404,0.292632343,0.025435023,0.588065328,0.034300203,0.201449656,0.375330609,0.57707269,0.172248903,0.287003387,0.550540971
0.695285574,0.405867792,0.680862122,0.36182144,0.984050902,0.150782028,0.670844828,0.345682326,0.078256355,0.460987847,-0.297094435
0.578138625,0.421638302,0.504325659,0.248123564,0.62640223,0.011965083,0.252295602,0.276902495,0.156457555,0.433448574,-0.190678416
0.827698787,0.861633011,0.426767357,0.542084223,0.173522196,0.069824174,0.778607474,0.111923982,0.118720174,0.442267099,-0.122831282
0.224684301,0.695148264,0.301205212,0.75271227,0.286733232,0.78797582,0.277634266,0.291028403,0.070015635,0.643908489,-0.207206706
0.899196553,0.401076197,0.668694614,0.399256286,0.860884018,0.190950625,0.093415823,0.766367675,0.291260929,0.496817124,-0.169737614
0.356428637,0.003516116,0.0186667,0.785136657,0.707485298,0.14814671,0.894288045,0.200438726,0.584436886,0.620386153,0.335272952
0.658842327,0.886291203,0.445463946,0.16212401,0.624065743,0.618655136,0.219227976,0.672042,0.769754244,0.469280066,-0.207836266
0.797170367,0.537623942,0.145559727,0.590826065,0.506502553,0.679423269,0.583801589,0.891524062,0.080487131,0.757359025,0.238572874
0.966773425,0.598300777,0.190421663,0.847823596,0.324297301,0.002291963,0.202542314,0.799993853,0.396624674,0.113196735,0.249700682
0.875014451,0.58046124,0.635300336,0.875934606,0.923037868,0.939860927,0.331057933,0.720453527,0.587645114,0.912966307,-0.230373987
0.697079426,0.161985142,0.784645975,0.65577127,0.20319041,0.327385121,0.615905495,0.037517839,0.482224967,0.465460621,-0.258139123
0.51717332,0.116860134,0.60215575,0.385397942,0.748108125,0.750221931,0.859448289,0.918947263,0.01735244,0.046528574,-0.182957546
0.625415435,0.138953818,0.287053303,0.137459481,0.123850712,0.855559119,0.995386644,0.289743594,0.055997666,0.050353516,0.202352517
0.124052415,0.201836801,0.455470505,0.560269602,0.706693572,0.710559691,0.785044141,0.396467941,0.97293938,0.814658417,-0.367093539
0.434658427,0.006969764,0.044597427,0.862430489,0.195293954,0.964822515,0.927780361,0.09308228,0.653603531,0.107353446,0.384085364
0.592316688,0.063154984,0.804198067,0.054693884,0.737625958,0.560198309,0.310743588,0.279311023,0.121011302,0.96338554,-0.278306701
0.555506302,0.490486832,0.648682575,0.306428791,0.265375175,0.116463494,0.931481927,0.159570138,0.940934859,0.256418923,-0.368261734
0.176079699,0.222163326,0.380894718,0.848595718,0.220528357,0.776365255,0.97138731,0.59670449,0.407028086,0.429178036,-0.258983447
0.978913331,0.825740249,0.240718387,0.370516481,0.031874516,0.43000437,0.305282972,0.59429959,0.925133771,0.92213632,0.128476609
0.38648237,0.035282911,0.54188182,0.446531146,0.640556031,0.671936584,0.911704037,0.969378878,0.728549058,0.846977865,-0.180874247
0.609410871,0.288873168,0.383621512,0.76092877,0.525538229,0.82982607,0.920728276,0.953975519,0.211862171,0.588168795,0.002632512
0.519394961,0.97112418,0.973140363,0.129425865,0.594737029,0.114447999,0.583769902,0.422895431,0.403504611,0.025602617,-0.796610411
0.648696419,0.750293075,0.380833324,0.640391621,0.386609342,0.918555466,0.736697829,0.6774792,0.494766111,0.81052996,-0.12141558
0.212678396,0.555490036,0.923653002,0.536590694,0.547253828,0.290176414,0.963728767,0.844283593,0.984572086,0.114185652,-0.82290435
0.630343679,0.657651196,0.676411359,0.904655925,0.50240443,0.735418461,0.41842443,0.952282463,0.613596368,0.876157494,-0.404160235
0.322728472,0.810239556,0.91272678,0.689508219,0.377865857,0.847446902,0.262712383,0.477258294,0.715994351,0.903490549,-0.789570495
0.432577411,0.724432449,0.50832011,0.097337538,0.417792069,0.283314679,0.116150477,0.448027112,0.623199833,0.382102857,-0.331676061
0.692481153,0.833897198,0.854731589,0.123199155,0.3545444,0.479400101,0.710990153,0.915045687,0.215237155,0.107629971,-0.595160928
0.606975025,0.405757903,0.588792906,0.342941705,0.381811458,0.641129942,0.159681386,0.738905683,0.244577912,0.536541749,-0.253728192
0.845147869,0.073147989,0.334800137,0.10025925,0.863833077,0.902724062,0.179612131,0.317759136,0.513165813,0.650680322,0.40248577
0.916617889,0.186306426,0.935111918,0.541637147,0.762434035,0.338241884,0.04890024,0.051559889,0.667844068,0.967889402,-0.26732137
0.445265134,0.271775434,0.887329818,0.871126385,0.236318223,0.250229274,0.127790707,0.797792274,0.256553985,0.042362911,-0.598861752
0.473782469,0.915773529,0.47511275,0.59482587,0.209327729,0.450669925,0.576252576,0.594782993,0.490050791,0.037987674,-0.307789919
0.918410221,0.951577958,0.412926597,0.133543632,0.368668777,0.873142399,0.456914492,0.581895122,0.157951871,0.275790897,-0.096577683
0.189803762,0.880037392,0.423094716,0.309776043,0.330248807,0.376874067,0.17284115,0.850176247,0.676103868,0.687009829,-0.354327101
0.445432565,0.497829879,0.825949043,0.16027456,0.099386462,0.336016374,0.335551992,0.85374317,0.420885318,0.541327534,-0.602748388
0.719551721,0.26781382,0.388981101,0.19354881,0.540374446,0.160117636,0.974682482,0.092601959,0.747179677,0.710813307,0.079590643
0.667790817,0.841852961,0.629857919,0.444968302,0.195251417,0.147607487,0.785569901,0.499331838,0.399442889,0.384060242,-0.381026327
0.62486506,0.616409276,0.428732507,0.054901824,0.332616616,0.390782149,0.7584993,0.277919994,0.069647875,0.02362286,-0.148877676
0.350386527,0.160671657,0.290990008,0.697463068,0.135558576,0.829134559,0.866072828,0.746644112,0.859957217,0.916746273,-0.025815528
0.049546842,0.646809751,0.550796392,0.144111555,0.906806165,0.713579704,0.037923769,0.362226043,0.870971488,0.847162252,-0.52919436
0.868134323,0.114458966,0.297938482,0.789664918,0.004067259,0.576605202,0.254608046,0.178507656,0.422918818,0.909058961,0.408483241
0.588170689,0.872183247,0.160195681,0.984029851,0.860535749,0.922702888,0.325080769,0.922789652,0.848306265,0.457251164,0.054123612
0.205718617,0.481297868,0.474791903,0.028957045,0.174344255,0.481043303,0.842587574,0.312792805,0.681178839,0.611075646,-0.369972243
0.311603892,0.46152806,0.958151571,0.539451239,0.063153722,0.01827873,0.551762185,0.359468091,0.045664044,0.194055889,-0.796115794
0.059990206,0.207420246,0.335146676,0.076196496,0.13550851,0.523389858,0.957634514,0.371078682,0.444742557,0.457329445,-0.292745991
0.049433507,0.023343796,0.159068984,0.071884473,0.204163458,0.785279111,0.385183532,0.331734253,0.644897938,0.976736735,-0.111840463
0.433841609,0.685966289,0.318739108,0.33676688,0.910120596,0.247347581,0.551047358,0.672793186,0.953953362,0.138175764,-0.135832725
0.643594253,0.033031557,0.607179255,0.765944161,0.634750127,0.423470885,0.565731173,0.518880161,0.790259387,0.821889292,-0.003468045
0.135479635,0.032227972,0.586001348,0.422543749,0.148501951,0.80282553,0.757923577,0.675495744,0.415730965,0.001902995,-0.458725404
0.352441284,0.886054149,0.402406545,0.83504801,0.972726312,0.132114649,0.247407226,0.139906264,0.567742628,0.695349973,-0.275268192
0.759266913,0.758813699,0.780107474,0.841781716,0.190813049,0.597272436,0.637107518,0.183470541,0.100972148,0.194731608,-0.47852714
0.029618472,0.868587654,0.705558159,0.716863989,0.978201205,0.661368386,0.117841332,0.276478033,0.968611191,0.000396497,-0.694737342
0.722235788,0.081968195,0.395921239,0.738578701,0.740157456,0.322681806,0.342778316,0.394788682,0.232086343,0.558339436,0.224590152
0.028698279,0.700613875,0.046879045,0.827334279,0.352671471,0.255505943,0.511830536,0.687628676,0.82398073,0.326849678,-0.034927543
0.302477799,0.093123474,0.76551569,0.486750266,0.959816925,0.694087696,0.682603234,0.675855973,0.205541839,0.845235679,-0.510528481
0.488727377,0.763586337,0.2628908,0.256844025,0.788313949,0.738555894,0.152266469,0.538219163,0.359213203,0.127615934,-0.069501807
0.990768745,0.891772204,0.955116174,0.122020134,0.955846774,0.451265094,0.499387885,0.359883473,0.332244011,0.100140786,-0.599178348
0.062660546,0.691699791,0.799952867,0.969373445,0.620755482,0.631006019,0.146031167,0.08361549,0.80543825,0.186511123,-0.77366246
0.144303263,0.019396919,0.642366472,0.529702875,0.209105715,0.971767541,0.934415964,0.025761665,0.645254088,0.621799292,-0.503452226
0.659525523,0.569176508,0.31413653,0.40300555,0.363506423,0.586320846,0.703518858,0.323776273,0.502398754,0.998881976,-0.005709662
0.152226105,0.55743675,0.195783259,0.151262022,0.646608836,0.911949973,0.067556748,0.998138955,0.116870672,0.932450921,-0.123804436
0.859790549,0.772201126,0.563740445,0.962325293,0.312892046,0.076583408,0.595483162,0.794961269,0.27602107,0.407311124,-0.225825892
0.893699072,0.077740993,0.243432247,0.150874066,0.924593545,0.618543273,0.307793738,0.909668423,0.269002724,0.459992516,0.530010423
0.500410645,0.16410611,0.968233097,0.236871767,0.803402759,0.505118609,0.059568506,0.004423721,0.877433316,0.743956315,-0.59147806
0.163343832,0.214971708,0.021885733,0.173413079,0.522806834,0.874622187,0.192162568,0.066839152,0.930150544,0.777101159,0.092345243
0.666813055,0.14581241,0.436912794,0.975788789,0.13546795,0.44851281,0.01640166,0.215887575,0.901993106,0.61507485,0.079346296
0.06426525,0.934226515,0.700528281,0.302013755,0.873358576,0.019081288,0.839556876,0.271995392,0.77175966,0.870249536,-0.678124131
0.486965571,0.760633338,0.799474792,0.654115655,0.823315393,0.052405512,0.020916714,0.881820702,0.716859372,0.167809839,-0.606331569
0.548485022,0.365368589,0.085146399,0.778503815,0.334543161,0.62649472,0.340821185,0.447413677,0.91616836,0.707739161,0.231761927
0.443488409,0.53665701,0.921933868,0.481316155,0.788059395,0.983452767,0.494636682,0.793246686,0.999026776,0.043665346,-0.708030713
0.322868549,0.25869927,0.283717167,0.193062738,0.538915011,0.812196153,0.792907818,0.865518762,0.586014986,0.46479826,-0.070939482
0.115473733,0.862951477,0.122254556,0.450872519,0.936544127,0.69956613,0.273612324,0.752887489,0.060591485,0.601772052,-0.079892911
0.87419376,0.76336639,0.981163267,0.851709067,0.667173311,0.993847478,0.844485384,0.60091835,0.320403785,0.962630381,-0.635185344
0.586900715,0.433921498,0.579574264,0.195506622,0.733048107,0.991661366,0.898460444,0.992108829,0.929048541,0.63361672,-0.265361176
0.405495723,0.09476254,0.638880747,0.793549747,0.74224918,0.862051005,0.900638251,0.909245902,0.147562352,0.122613507,-0.297991992
0.049442808,0.316304536,0.658540898,0.396480902,0.464142378,0.020413128,0.315216615,0.652850484,0.013804295,0.145655305,-0.628256362
0.640331422,0.412040448,0.37611367,0.171301588,0.321642781,0.190623806,0.580279081,0.272240147,0.081029657,0.809751364,-0.025070345
0.702851206,0.58521229,0.305730791,0.873649119,0.572101246,0.766896282,0.992908129,0.811183003,0.433088074,0.059402473,0.018100413
0.299119834,0.448958411,0.773931674,0.606847897,0.043479514,0.92100009,0.144624653,0.241429381,0.486029499,0.784411193,-0.616327384
0.681332348,0.247401112,0.525480545,0.764938923,0.756732972,0.046660645,0.761085089,0.695827038,0.241985686,0.319822466,-0.069679546
0.839457053,0.516301539,0.196814853,0.051425798,0.18823397,0.273579712,0.850928806,0.306339773,0.478239799,0.355715822,0.216181202
0.864776551,0.426029912,0.530008999,0.883986626,0.724920187,0.225396287,0.444731381,0.850351362,0.057572137,0.178522802,-0.0630821
0.577744567,0.322137072,0.869478679,0.827164492,0.182427481,0.113229836,0.966282758,0.651050475,0.563395316,0.697400092,-0.518111135
0.256698259,0.680966496,0.098069552,0.176179681,0.352811409,0.457749462,0.749646472,0.910157271,0.941010567,0.682355936,0.010611879
0.290780503,0.929483542,0.273341578,0.375973624,0.227293392,0.842895189,0.532144083,0.892276853,0.718706703,0.414994547,-0.17163334
0.047408422,0.932069334,0.37934292,0.087185124,0.065071286,0.69368314,0.577988797,0.377038865,0.060602058,0.930124168,-0.362790502
0.824799168,0.403639925,0.594147255,0.819016539,0.062629675,0.108046189,0.797263642,0.788349698,0.446449629,0.908722052,-0.137771245
0.418361843,0.155580016,0.995707539,0.945933518,0.425672662,0.929159806,0.436609135,0.899434026,0.607704563,0.966519367,-0.676629904
0.041920222,0.655164076,0.310013488,0.862194946,0.592057872,0.484425418,0.807390142,0.896122193,0.73297277,0.819005518,-0.291868783
0.359340795,0.84462211,0.50614726,0.464580637,0.238921321,0.86142066,0.50020951,0.535955742,0.489910866,0.051234178,-0.372525779
0.647254074,0.838315533,0.604763475,0.115687674,0.019350814,0.026928713,0.627942671,0.850709961,0.858473415,0.276296116,-0.362946782
0.279600118,0.860042763,0.503737788,0.297367648,0.921613595,0.558486672,0.466361571,0.623853664,0.46744763,0.099320085,-0.400946859
0.909282552,0.890628661,0.102383123,0.15056365,0.698614337,0.234124163,0.152351924,0.041748537,0.851119068,0.857196891,0.224549069
0.557565705,0.960812263,0.302766352,0.550389846,0.007509335,0.649756756,0.539512255,0.518555416,0.068899287,0.822496892,-0.111925366
0.994477396,0.223068379,0.224893879,0.060567678,0.79924634,0.225264839,0.54577038,0.830639928,0.610568753,0.546519069,0.462784787
0.153170775,0.682061247,0.40505801,0.248859244,0.919116631,0.831441927,0.294700995,0.909660859,0.960509038,0.046365889,-0.340268316
0.982653145,0.598309823,0.049953609,0.255580436,0.000734639,0.50069699,0.233750775,0.626208083,0.677544003,0.497675052,0.397394272
0.331141438,0.139738859,0.011773671,0.973507747,0.868995853,0.047556297,0.109435406,0.763824035,0.449440476,0.986142886,0.24703618
0.05738461,0.772119353,0.707670995,0.568422424,0.839552125,0.758540876,0.93862234,0.635300648,0.089419113,0.799883018,-0.685116268
0.150440298,0.847395409,0.704577678,0.770848995,0.414019038,0.526612011,0.708991353,0.872296257,0.611338407,0.439390044,-0.648751342
0.402630019,0.345189139,0.528258297,0.943047221,0.34845323,0.722493538,0.317192861,0.18774583,0.004086844,0.199933758,-0.290068997
0.047633328,0.110647731,0.819483054,0.50366399,0.027745935,0.595790926,0.886833544,0.168700952,0.679438317,0.403327422,-0.780480757
0.312403547,0.627747989,0.716959343,0.62882623,0.633696559,0.211128358,0.705206323,0.750095265,0.245760321,0.030161743,-0.578451649
0.242319136,0.528485335,0.693391507,0.918399766,0.180773876,0.521337125,0.855559716,0.854091046,0.778646627,0.157107308,-0.575587622
0.391666336,0.104822979,0.537768603,0.835099201,0.933698634,0.875940939,0.463296771,0.331844404,0.109097144,0.999375591,-0.213982677
0.358234082,0.406340398,0.178587384,0.174355191,0.824124935,0.209164556,0.266646305,0.267838535,0.842464722,0.069566787,0.019039293
0.582832953,0.122526827,0.354522783,0.522045222,0.631291748,0.894505193,0.503708639,0.044099882,0.923943158,0.152167353,0.113595962
0.923261001,0.039345593,0.58411003,0.155149234,0.650469455,0.285218721,0.950729296,0.512977436,0.930255529,0.81512722,0.271798512
0.894604209,0.969798837,0.958134514,0.86643829,0.644379807,0.491021308,0.368150107,0.508354726,0.996691292,0.194922967,-0.653805722
0.432827985,0.045980927,0.004685355,0.053168158,0.493873307,0.577703593,0.962960398,0.992352384,0.782647101,0.460153385,0.391691115
0.497656545,0.555890193,0.688045505,0.723824541,0.730376035,0.753454939,0.241699551,0.67833392,0.896018726,0.419599205,-0.452388167
0.464219461,0.270811023,0.883784881,0.677570491,0.074119265,0.091600002,0.634554538,0.872668097,0.568496241,0.135953131,-0.582660839
0.760377955,0.265687127,0.377914068,0.117022914,0.839807447,0.905096501,0.51899404,0.744215355,0.368205483,0.562193429,0.118618999
0.746505204,0.728905757,0.337924672,0.988495728,0.635222817,0.784441472,0.690550704,0.145695184,0.81617944,0.209010534,-0.034197068
0.671552066,0.719781485,0.6200607,0.928487121,0.7719121,0.610606774,0.427134214,0.076248779,0.13845779,0.308200515,-0.344785139
0.189700369,0.820162459,0.89398601,0.043772037,0.953905634,0.961169937,0.644147255,0.191677171,0.555351143,0.315218795,-0.822138652
0.718258186,0.079356141,0.350602551,0.049863304,0.737310683,0.672997521,0.430796889,0.561964651,0.210907719,0.553243566,0.269273667
0.792254694,0.081959369,0.650410454,0.235089288,0.991685063,0.356431934,0.472997064,0.446310138,0.985261007,0.070651114,0.030268246
0.949587664,0.245906945,0.176901765,0.340538843,0.999124623,0.573999476,0.116730947,0.34403772,0.257605136,0.138460163,0.459630493
0.812918981,0.953322414,0.423355282,0.672357316,0.4735727,0.106315766,0.058054533,0.757895582,0.689871062,0.307792777,-0.143679219
0.433367159,0.797974631,0.916372761,0.112492909,0.811578955,0.267690547,0.761998662,0.1756474,0.524719838,0.407739749,-0.749432996
0.878499231,0.451802009,0.601367605,0.412456963,0.046828591,0.202224704,0.462280264,0.984240601,0.892666177,0.706251022,-0.139874972
0.19072991,0.929328158,0.95611423,0.200731024,0.698831061,0.24841305,0.858558942,0.105843332,0.144363193,0.367360278,-0.889394104
0.751840324,0.58176509,0.886282544,0.745981831,0.258294958,0.312580225,0.239641883,0.507725697,0.097791313,0.133459207,-0.538776264
0.080043868,0.02487682,0.035438516,0.159506494,0.183401415,0.104974563,0.133256366,0.184108974,0.710972854,0.681036864,0.040811629
0.289344274,0.519524038,0.674500148,0.447094423,0.609787796,0.89730889,0.813055911,0.710614921,0.584259162,0.879335863,-0.532598504
0.698895836,0.122603947,0.171863209,0.383780659,0.781530872,0.422055544,0.44909073,0.063443076,0.243866193,0.744916139,0.389405187
0.609452569,0.335939647,0.103789701,0.654093875,0.693432286,0.892652033,0.538903928,0.729515712,0.69325288,0.876061229,0.260741741
0.448098127,0.153456881,0.83862323,0.587295958,0.637064366,0.12214432,0.234652521,0.93521375,0.345111761,0.837470071,-0.495755828
0.569543028,0.992277388,0.654182689,0.016797257,0.337123054,0.705406912,0.740551067,0.230944199,0.431775136,0.304551131,-0.463352542
0.457062465,0.723301025,0.887940657,0.593834107,0.205574498,0.017451458,0.052600274,0.264880943,0.219849003,0.842092418,-0.701125452
0.43895411,0.732147023,0.90283186,0.563268323,0.025318001,0.486791276,0.47047828,0.514699333,0.182869761,0.736446126,-0.724706157
0.68675162,0.742924759,0.290400484,0.716022999,0.887800052,0.00044148,0.196725693,0.434393334,0.900106511,0.073534052,-0.014136127
0.762441028,0.03946853,0.152871502,0.494021707,0.115442551,0.366306036,0.958532519,0.835111023,0.032825122,0.696541819,0.553787909
0.664874774,0.215827222,0.470852993,0.959363796,0.267936746,0.258135512,0.23259599,0.370344463,0.182766538,0.304742217,-0.006442899
0.874618036,0.57384534,0.212202215,0.501466003,0.199226997,0.609142426,0.874974336,0.266958044,0.919836177,0.03882901,0.195034285
0.573832579,0.375246657,0.696355545,0.392575168,0.494074814,0.138529476,0.930624868,0.016574503,0.964448918,0.06213783,-0.368543622
0.966119914,0.753916687,0.834084737,0.205371422,0.779894635,0.923575663,0.376217265,0.873951635,0.60963793,0.192271396,-0.448843866
0.013143646,0.197604213,0.686670259,0.114240977,0.682437326,0.562401047,0.042420678,0.060628311,0.843974202,0.469624666,-0.677249698
0.785929715,0.042971791,0.644249759,0.206175653,0.872709075,0.140438852,0.555941953,0.179322939,0.620549882,0.85283035,0.079480026
0.284434281,0.442452644,0.159939589,0.202811317,0.72747681,0.29176544,0.185610332,0.051568896,0.953586704,0.097412886,-0.009038489
0.548815176,0.689198201,0.319345711,0.096023823,0.199999967,0.039560262,0.37547241,0.142339581,0.869331635,0.068328223,-0.088595624
0.763366646,0.19017138,0.682857986,0.96142023,0.353015413,0.12771066,0.313290136,0.469345925,0.609885517,0.461239336,-0.129831108
0.149597683,0.527104076,0.060726753,0.342136324,0.625587807,0.993712013,0.728415186,0.354548306,0.284172561,0.283609242,0.012098234
